org_id	source_mutant_library	base_library_lineage	primers_model	transposon	evidence_status	evidence_source	notes
pseudo13_GW456_L13	pseudo13_ML2a	pseudo13_ML2	model_pKMW3	mariner	exact_alias	https://www.nature.com/articles/s41586-018-0124-0	FEBa suffix variant; timeZeroSet names use pseudo13_ML2.
pseudo1_N1B4	PsfN1B4_ML1	pseudo1_N1B4_ML1	model_pKMW3	mariner	exact_alias	https://www.nature.com/articles/s41586-018-0124-0	FEBa alias; timeZeroSet names use pseudo1_N1B4_ML1.
pseudo1_N1B4	pseudo1_N1B4_ML1	pseudo1_N1B4_ML1	model_pKMW3	mariner	exact	https://www.nature.com/articles/s41586-018-0124-0	Price 2018 Supplementary Table S20 identifies this as a non-exception mariner library, which maps to pKMW3.
pseudo3_N2E3	pseudo3_N2E3_ML2	pseudo3_N2E3_ML2	model_pKMW3	mariner	exact	https://www.nature.com/articles/s41586-018-0124-0	Price 2018 Supplementary Table S20 identifies this as a non-exception mariner library, which maps to pKMW3.
pseudo3_N2E3	pseudo3_N2E3_ML2a	pseudo3_N2E3_ML2	model_pKMW3	mariner	exact_alias	https://www.nature.com/articles/s41586-018-0124-0	FEBa suffix variant; timeZeroSet names use pseudo3_N2E3_ML2.
pseudo5_N2C3_1	pseudo5_N2-C3_1_ML2	pseudo5_N2-C3_1_ML2	model_pKMW3	mariner	exact	https://www.nature.com/articles/s41586-018-0124-0	Price 2018 Supplementary Table S20 identifies this as a non-exception mariner library, which maps to pKMW3.
pseudo5_N2C3_1	pseudo5_N2-C3_1_ML2B	pseudo5_N2-C3_1_ML2	model_pKMW3	mariner	exact_alias	https://www.nature.com/articles/s41586-018-0124-0	FEBa suffix variant; timeZeroSet names use pseudo5_N2-C3_1_ML2.
pseudo5_N2C3_1	pseudo5_N2-C3_1_ML2a	pseudo5_N2-C3_1_ML2	model_pKMW3	mariner	exact_alias	https://www.nature.com/articles/s41586-018-0124-0	FEBa suffix variant; timeZeroSet names use pseudo5_N2-C3_1_ML2.
pseudo6_N2E2	pseudo6_N2E2_ML5	pseudo6_N2E2_ML5	model_pKMW3	mariner	exact	https://www.nature.com/articles/s41586-018-0124-0	Price 2018 Supplementary Table S20 identifies this as a non-exception mariner library, which maps to pKMW3; existing CORAL model_pKMW7 is incorrect.
pseudo6_N2E2	pseudo6_N2E2_ML5a	pseudo6_N2E2_ML5	model_pKMW3	mariner	exact_alias	https://www.nature.com/articles/s41586-018-0124-0	FEBa suffix variant; timeZeroSet names use pseudo6_N2E2_ML5.
pseudo6_N2E2	pseudo6_N2E2_ML5b	pseudo6_N2E2_ML5	model_pKMW3	mariner	exact_alias	https://www.nature.com/articles/s41586-018-0124-0	FEBa suffix variant; timeZeroSet names use pseudo6_N2E2_ML5.
pseudo6_N2E2	pseudo6_N2E2_ML5c	pseudo6_N2E2_ML5	model_pKMW3	mariner	exact_alias	https://www.nature.com/articles/s41586-018-0124-0	FEBa suffix variant; timeZeroSet names use pseudo6_N2E2_ML5.
rhodanobacter_10B01	Rhodanobacter sp. FW104-10B01	rhodanobacter_10B01_ML12		mariner	class_only	https://academic.oup.com/ismej/article/18/1/wrae151/7729366	FEBa display-name alias; timeZeroSet names use rhodanobacter_10B01_ML12; publication confirms a DNA-barcoded mariner vector but does not name the plasmid.
rhodanobacter_10B01	rhodanobacter_10B01_ML12	rhodanobacter_10B01_ML12		mariner	class_only	https://academic.oup.com/ismej/article/18/1/wrae151/7729366	Publication confirms a DNA-barcoded mariner vector but does not name the plasmid.
rhodanobacter_R12	rhodanobacter_R12_ML3	rhodanobacter_R12_ML3			unresolved		No vector or transposon field in feba.db and no source page/publication found with an exact model.
rhodanobacter_T8	rhodanobacter_T8_ML1	rhodanobacter_T8_ML1			unresolved		No vector or transposon field in feba.db and no source page/publication found with an exact model.
