source_namespace	fitprivate_orgId	fitprivate_organism	scaffold_count	total_bases	gene_count	xref_count	source_assembly_sha256	source_annotation_structure_sha256	source_annotation_metadata_sha256	experiment_count	gene_fitness_count	distinct_mutant_library_count	mutant_libraries_json	sdt_strain_id	sdt_strain_name	match_basis	coral_match_live_status	coral_match_live_checked_at	edr_inventory_status	edr_inventory_checked_at	edr_active_versions_json	edr_withdrawn_versions_json	source_fingerprint_status	exact_match_status	exact_match_location	reused_edr_version	allocated_edr_version	target_coral_genome_name	export_status	edr_publication_status	coral_genome_import_status	validation_status	notes
enigma.fitprivate	Phaga5	Hydrogenophaga sp. GW460-11-11-14-LB1	11	6135295	5854	0	07242c50adaa8629083e42c1b3b31a180a2fbf2c7e01e83c630573698ec5a8f3	2388025bdb4aaba3639d08810ec99fef7db3869da01d4d580c0032ae33fc15ab	bdeee49029f800d8bc5f954d85a68b86e1a31bca0bf4d8bdf12db5c77e82540b	146	671746	1	"[""Phaga5_ML11""]"	Strain0000213	GW460-11-11-14-LB1	current display name; obsolete orgId	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2]	[]	complete	no_exact_match			GW460-11-11-14-LB1.3	GW460-11-11-14-LB1.3	complete	pending	pending	pending	
enigma.fitprivate	PseudoFW215-L2	Pseudomonas sp. FW215-L2	320	7314884	6622	0	2e003d62af6e92f75e0f42335b0436d74cefc32e67106887adbb444a2491cf79	022e108fbe16485ac5a6f1d8732f05df51ba6947221fabf4b7746a8bf65d0195	f08774e0912f854d6911b81019442946a10c41da94f9017e856fc1cde417c93a	185	1028415	1	"[""PseudoFW215-L2_ML1""]"	Strain0000580	FW215-L2	current display name	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1]	[]	complete	no_exact_match			FW215-L2.3	FW215-L2.3	complete	pending	pending	pending	
enigma.fitprivate	Rhodanobacter_MT42	Rhodanobacter denitrificans MT42	2	4236788	3930	0	46ba78ddd844d82fa6be33d737489443134b4d7e7eeabcb65544d867d38ee877	88bea5b731716647ec49c288dc7d82befdac0e2ff5d4a2aed7959ed1b9c01d04	08fc92bb65db403bd5187a792d4490ecd640e9b7576c705f0dec3f0fc6928300	73	229512	1	"[""Rhodanobacter_MT42_ML2""]"	Strain0000683	MT42	current display name	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2]	[]	complete	no_exact_match			MT42.3	MT42.3	complete	pending	pending	pending	
enigma.fitprivate	acidovorax_3H11	Acidovorax sp. GW101-3H11	39	5442520	5019	4426	c6c75fa9b68dba4336406459ebc4f832104eb4c34f37edae9eeefc21f6fdfe57	72fdb3ba98716cbdc9c783429b2f572e890f63cc352fc066aad23e78759cb8cc	9f7635657b2f6ea43b655f85e796e452e5d63090688baeac9f4ecdbb2a7fb66d	196	771260	1	"[""acidovorax_3H11_ML3a""]"	Strain0000061	GW101-3H11	current display name; obsolete orgId	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2, 4]	[3, 4, 5]	complete	no_exact_match			GW101-3H11.6	GW101-3H11.6	complete	pending	pending	pending	
enigma.fitprivate	pseudo13_GW456_L13	Pseudomonas fluorescens GW456-L13	2	5757432	5243	4771	4e387ffb21d8a2049eace1de58c9d2b3e240b2e0e0420b845f29af8dbe01148c	9012b4b7323ce09a665ef71516d864d69c9f1028387106d4e6038649e8ebed1d	95784b5a2fb94013fcefa966704c0efe36ed81b9ff9963929129833d63693b61	116	504600	2	"[""pseudo13_ML2"", ""pseudo13_ML2a""]"	Strain0000481	GW456-L13	current display name; obsolete orgId	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2]	[]	complete	no_exact_match			GW456-L13.3	GW456-L13.3	complete	pending	pending	pending	
enigma.fitprivate	pseudo1_N1B4	Pseudomonas fluorescens FW300-N1B4	3	6623530	6058	5246	18d63871d36e54753681164887168937fc4c5c284dd509b0f15c8e35014f4123	bded0ead138b71555cbb3bef65c113c5bda579dfdac53aa35a64a9a9e512f9cf	faae7d73be930693cbf99a255a7307bb6601542205b765b00585a0106c61a2cb	197	854192	2	"[""PsfN1B4_ML1"", ""pseudo1_N1B4_ML1""]"	Strain0000456	FW300-N1B4	current display name; obsolete orgId	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2]	[]	complete	no_exact_match			FW300-N1B4.3	FW300-N1B4.3	complete	pending	pending	pending	
enigma.fitprivate	pseudo3_N2E3	Pseudomonas fluorescens FW300-N2E3	1	6391871	5854	5729	365d1ea5c56955a9453c74f25b6968e90057f701c64e710742b997fde6ddc110	4be1397b2c32c88e909f39481b22b88fa73bc4948ce3540e3e78a1316ea6b0a9	b6554bc8842de34140360eb76c26cdb5b6b67765d92ceae7a5e2a5de12e9bccd	307	1543596	2	"[""pseudo3_N2E3_ML2"", ""pseudo3_N2E3_ML2a""]"	Strain0000458	FW300-N2E3	current display name; obsolete orgId	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2]	[]	complete	no_exact_match			FW300-N2E3.3	FW300-N2E3.3	complete	pending	pending	pending	
enigma.fitprivate	pseudo5_N2C3_1	Pseudomonas fluorescens FW300-N2C3	1	7119102	6082	5968	74edf8c240390bf365e01a4e2825ba4d2b1d2ed382499811f5e8c58573d189fb	d1757f4c32c188bb704dce8c551385be68e2d4cb272a4797fe50433c70b6432d	a664fd1f75ee7389ee3f20654a6b3aec2285a52a4543b9eed0f0403895ed39aa	198	1028214	3	"[""pseudo5_N2-C3_1_ML2"", ""pseudo5_N2-C3_1_ML2B"", ""pseudo5_N2-C3_1_ML2a""]"	Strain0000477	FW300-N2C3	current display name; obsolete orgId	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2]	[]	complete	no_exact_match			FW300-N2C3.3	FW300-N2C3.3	complete	pending	pending	pending	
enigma.fitprivate	pseudo6_N2E2	Pseudomonas fluorescens FW300-N2E2	1	6919098	6175	11112	030294948e9ad4d70167650f1ad6ecc84788ea9082b0b91b59e7a960463dbb0f	807b5edbd76657b831fb21519560166c6fb127c5220e61c8ca86115374680114	d8fa386250ccd64a9f7c6c70ecc2d07731cd7ff4af71d699aa603a092241f6d5	388	1991604	4	"[""pseudo6_N2E2_ML5"", ""pseudo6_N2E2_ML5a"", ""pseudo6_N2E2_ML5b"", ""pseudo6_N2E2_ML5c""]"	Strain0000457	FW300-N2E2	current display name; obsolete orgId	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2]	[]	complete	no_exact_match			FW300-N2E2.3	FW300-N2E2.3	complete	pending	pending	pending	
enigma.fitprivate	rhodanobacter_10B01	Rhodanobacter denitrificans FW104-10B01	1	3959115	3624	3321	bbf96997754ca1c54dd978d38411cf55c3b1fcbaac9a7bb704b77169be258a08	8324258804f2daf7003bfdb4fa7f52eb5960bfc487454e5d23142bc70584b507	96bbe9b63767f39db6c00060bf328330a4d66ba8a82c59100b1e4e36b3805ee7	515	1510495	2	"[""Rhodanobacter sp. FW104-10B01"", ""rhodanobacter_10B01_ML12""]"	Strain0000653	FW104-10B01	current display name	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2, 3]	[]	complete	no_exact_match			FW104-10B01.4	FW104-10B01.4	complete	pending	pending	pending	
enigma.fitprivate	rhodanobacter_R12	Rhodanobacter sp000427505 FW510-R12	2	4203948	3832	0	bd1e783bd989c0f1454b26c330d6047761cba675b3f04bac8b27f6fe79966447	a092499c1bad7e8a0eaf710efd7a97db221e55ac9bf4b0f4ffdb4d08bf7c742d	021235663077cacf2066bf14f6aa2e450047f4a10beec70daf88f1de05d6dbf4	103	303438	1	"[""rhodanobacter_R12_ML3""]"	Strain0000663	FW510-R12	current display name	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2, 3]	[]	complete	no_exact_match			FW510-R12.4	FW510-R12.4	complete	pending	pending	pending	
enigma.fitprivate	rhodanobacter_T8	Rhodanobacter sp. FW510-T8	1	3752333	3416	0	7f3a73bdc3489ccf55296862d6bee3a435de6ebd6a3dbc7464a378b3930397c0	c7e1d707cfbc50fefc4a136beb0559670459a27a0be29110e5c4e11f100a2dee	93b08f1b3bbad7193550695e8dcf2d2e4861d61141dd32eff57bf3bd4f15b861	98	260386	1	"[""rhodanobacter_T8_ML1""]"	Strain0000660	FW510-T8	current display name	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 3]	[]	complete	no_exact_match			FW510-T8.4	FW510-T8.4	complete	pending	pending	pending	
